host_response_time,proportion,host_response_color
a few days or more,1.6921837228041903,#808080
not mentioned,11.657265645984422,#FF5A5F
within a day,21.246306741874832,#808080
within a few hours,31.130808487778673,#808080
within an hour,34.27343540155788,#808080
